,ASVno,totalcount,Rel.abun,taxonomy,Genera
ASV_1066,ASV_1066,211,0.01374549,Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;Suillus pungens ,Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus
ASV_1067,ASV_1067,211,0.01374549,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Bisifusarium;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Bisifusarium
ASV_1068,ASV_1068,210,0.013680345,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1069,ASV_1069,210,0.013680345,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma
ASV_1070,ASV_1070,210,0.013680345,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1071,ASV_1071,210,0.013680345,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma
ASV_1072,ASV_1072,210,0.013680345,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma
ASV_1073,ASV_1073,210,0.013680345,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium roseopurpureum ,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
ASV_1074,ASV_1074,209,0.013615201,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1075,ASV_1075,209,0.013615201,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;;,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;
ASV_1076,ASV_1076,209,0.013615201,Fungi;;;;;;,Fungi;;;;;
ASV_1077,ASV_1077,209,0.013615201,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1079,ASV_1079,208,0.013550056,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia;,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia
ASV_1080,ASV_1080,208,0.013550056,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia
ASV_1081,ASV_1081,207,0.013484912,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1082,ASV_1082,207,0.013484912,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria subcucurbitae ,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria
ASV_1083,ASV_1083,207,0.013484912,Fungi;;;;;;,Fungi;;;;;
ASV_1084,ASV_1084,207,0.013484912,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Bisifusarium;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Bisifusarium
ASV_1085,ASV_1085,206,0.013419767,Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;;,Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;
ASV_1086,ASV_1086,206,0.013419767,Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;Cystofilobasidium macerans ,Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium
ASV_1088,ASV_1088,205,0.013354623,Fungi;;;;;;,Fungi;;;;;
ASV_1089,ASV_1089,205,0.013354623,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Bisifusarium;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Bisifusarium
ASV_1090,ASV_1090,204,0.013289478,Fungi;Olpidiomycota;Olpidiomycetes;Olpidiales;Olpidiaceae;Olpidium;,Fungi;Olpidiomycota;Olpidiomycetes;Olpidiales;Olpidiaceae;Olpidium
ASV_1091,ASV_1091,204,0.013289478,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma
ASV_1092,ASV_1092,204,0.013289478,Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Pezoloma;,Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Pezoloma
ASV_1093,ASV_1093,204,0.013289478,Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta;Coniochaeta deborreae ,Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta
